 .gitignore                                         |     1 -
 .../main/java/org/apache/hadoop/record/Utils.java  |     8 +-
 .../apache/hadoop/record/compiler/CGenerator.java  |    10 +-
 .../hadoop/record/compiler/CppGenerator.java       |    10 +-
 .../hadoop/record/compiler/generated/Rcc.java      |     5 +-
 .../security/AuthenticationFilterInitializer.java  |    41 +-
 .../org/apache/hadoop/security/Credentials.java    |     4 +-
 .../java/org/apache/hadoop/security/Groups.java    |   205 +-
 .../apache/hadoop/security/LdapGroupsMapping.java  |    16 +-
 .../org/apache/hadoop/security/NetgroupCache.java  |    61 +-
 .../hadoop/security/SaslPropertiesResolver.java    |     4 +-
 .../org/apache/hadoop/security/SaslRpcClient.java  |    18 +-
 .../org/apache/hadoop/security/SaslRpcServer.java  |     8 +-
 .../org/apache/hadoop/security/SecurityUtil.java   |    29 +-
 .../hadoop/security/ShellBasedIdMapping.java       |   397 +-
 .../hadoop/security/UserGroupInformation.java      |    43 +-
 .../hadoop/security/WhitelistBasedResolver.java    |     3 +-
 .../hadoop/security/alias/CredentialShell.java     |    39 +-
 .../security/alias/JavaKeyStoreProvider.java       |    18 +-
 .../apache/hadoop/security/alias/UserProvider.java |     4 +-
 .../authorize/ServiceAuthorizationManager.java     |    58 +-
 .../security/ssl/FileBasedKeyStoresFactory.java    |     4 +-
 .../org/apache/hadoop/security/ssl/SSLFactory.java |     5 +-
 .../hadoop/security/ssl/SSLHostnameVerifier.java   |    10 +-
 .../delegation/ZKDelegationTokenSecretManager.java |   158 +-
 .../web/DelegationTokenAuthenticationFilter.java   |    22 +-
 .../web/DelegationTokenAuthenticationHandler.java  |     3 +-
 .../web/DelegationTokenAuthenticator.java          |     3 +-
 .../apache/hadoop/tracing/SpanReceiverHost.java    |   123 +-
 .../java/org/apache/hadoop/tracing/TraceAdmin.java |     9 +-
 .../java/org/apache/hadoop/tracing/TraceUtils.java |    65 -
 .../apache/hadoop/util/ApplicationClassLoader.java |    40 +-
 .../org/apache/hadoop/util/ComparableVersion.java  |     7 +-
 .../org/apache/hadoop/util/FileBasedIPList.java    |    55 +-
 .../apache/hadoop/util/GenericOptionsParser.java   |    20 +-
 .../org/apache/hadoop/util/HostsFileReader.java    |     4 +-
 .../org/apache/hadoop/util/JvmPauseMonitor.java    |     6 +-
 .../java/org/apache/hadoop/util/LogAdapter.java    |    74 -
 .../java/org/apache/hadoop/util/MachineList.java   |     3 +-
 .../apache/hadoop/util/NativeLibraryChecker.java   |    14 +-
 .../org/apache/hadoop/util/PrintJarMainClass.java  |    17 +-
 .../java/org/apache/hadoop/util/ProtoUtil.java     |     4 +-
 .../org/apache/hadoop/util/ReflectionUtils.java    |    14 +-
 .../java/org/apache/hadoop/util/ServletUtil.java   |    46 +-
 .../main/java/org/apache/hadoop/util/Shell.java    |    21 +-
 .../java/org/apache/hadoop/util/SignalLogger.java  |     8 +-
 .../java/org/apache/hadoop/util/StopWatch.java     |   108 -
 .../java/org/apache/hadoop/util/StringUtils.java   |    56 +-
 .../org/apache/hadoop/util/bloom/BloomFilter.java  |     2 +-
 .../apache/hadoop/util/curator/ChildReaper.java    |   234 -
 .../hadoop-common/src/main/native/native.sln       |     8 +-
 .../hadoop-common/src/main/native/native.vcxproj   |    40 -
 .../hadoop-common/src/main/native/src/exception.c  |     6 -
 .../hadoop-common/src/main/native/src/exception.h  |    20 +-
 .../hadoop/crypto/random/OpensslSecureRandom.c     |    20 +-
 .../hadoop/io/compress/bzip2/Bzip2Compressor.c     |    28 +-
 .../hadoop/io/compress/bzip2/Bzip2Decompressor.c   |    28 +-
 .../src/org/apache/hadoop/io/nativeio/NativeIO.c   |    87 +-
 .../windows_secure_container_executor.c            |     2 +-
 .../src/main/resources/core-default.xml            |   263 +-
 .../hadoop-common/src/main/winutils/client.c       |    17 +-
 .../hadoop-common/src/main/winutils/config.cpp     |     2 +-
 .../src/main/winutils/include/winutils.h           |    29 +-
 .../hadoop-common/src/main/winutils/libwinutils.c  |   287 +-
 .../src/main/winutils/libwinutils.vcxproj          |    64 +-
 .../hadoop-common/src/main/winutils/service.c      |    40 +-
 .../hadoop-common/src/main/winutils/systeminfo.c   |     3 -
 .../hadoop-common/src/main/winutils/task.c         |   174 +-
 .../hadoop-common/src/main/winutils/win8sdk.props  |    47 -
 .../hadoop-common/src/main/winutils/winutils.sln   |    10 -
 .../src/main/winutils/winutils.vcxproj             |    64 +-
 .../src/site/apt/CLIMiniCluster.apt.vm             |    83 +
 .../hadoop-common/src/site/apt/ClusterSetup.apt.vm |   703 +
 .../src/site/apt/CommandsManual.apt.vm             |   275 +
 .../src/site/apt/Compatibility.apt.vm              |   541 +
 .../src/site/apt/DeprecatedProperties.apt.vm       |   552 +
 .../src/site/apt/FileSystemShell.apt.vm            |   623 +
 .../src/site/apt/HttpAuthentication.apt.vm         |    98 +
 .../src/site/apt/InterfaceClassification.apt.vm    |   239 +
 .../hadoop-common/src/site/apt/Metrics.apt.vm      |   740 +
 .../src/site/apt/NativeLibraries.apt.vm            |   187 +
 .../hadoop-common/src/site/apt/SecureMode.apt.vm   |   740 +
 .../src/site/apt/ServiceLevelAuth.apt.vm           |   191 +
 .../src/site/apt/SingleCluster.apt.vm              |   286 +
 .../src/site/apt/SingleNodeSetup.apt.vm            |    24 +
 .../hadoop-common/src/site/apt/Superusers.apt.vm   |   100 +
 .../hadoop-common/src/site/apt/Tracing.apt.vm      |   169 +
 .../src/site/markdown/CLIMiniCluster.md.vm         |    68 -
 .../src/site/markdown/ClusterSetup.md              |   337 -
 .../src/site/markdown/CommandsManual.md            |   178 -
 .../src/site/markdown/Compatibility.md             |   313 -
 .../src/site/markdown/DeprecatedProperties.md      |   288 -
 .../src/site/markdown/FileSystemShell.md           |   710 -
 .../src/site/markdown/HttpAuthentication.md        |    58 -
 .../src/site/markdown/InterfaceClassification.md   |   105 -
 .../hadoop-common/src/site/markdown/Metrics.md     |   458 -
 .../src/site/markdown/NativeLibraries.md.vm        |   145 -
 .../src/site/markdown/RackAwareness.md             |   104 -
 .../hadoop-common/src/site/markdown/SecureMode.md  |   377 -
 .../src/site/markdown/ServiceLevelAuth.md          |   143 -
 .../src/site/markdown/SingleCluster.md.vm          |   231 -
 .../hadoop-common/src/site/markdown/Superusers.md  |   106 -
 .../hadoop-common/src/site/markdown/Tracing.md     |   209 -
 .../src/site/markdown/filesystem/filesystem.md     |    35 -
 .../site/markdown/filesystem/fsdatainputstream.md  |    62 +-
 .../src/site/markdown/filesystem/testing.md        |    47 +
 .../org/apache/hadoop/conf/TestConfiguration.java  |   141 +-
 .../hadoop/conf/TestConfigurationFieldsBase.java   |   417 -
 .../apache/hadoop/conf/TestReconfiguration.java    |     5 +-
 .../org/apache/hadoop/crypto/TestCryptoCodec.java  |   104 +-
 .../hadoop/crypto/key/TestKeyProviderFactory.java  |    59 -
 .../org/apache/hadoop/crypto/key/TestKeyShell.java |     3 +-
 .../kms/TestLoadBalancingKMSClientProvider.java    |   166 -
 .../hadoop/crypto/random/TestOsSecureRandom.java   |    14 +
 .../hadoop/fs/FileContextCreateMkdirBaseTest.java  |    11 +-
 .../hadoop/fs/FileSystemContractBaseTest.java      |     4 +-
 .../org/apache/hadoop/fs/FileSystemTestHelper.java |    27 +-
 .../apache/hadoop/fs/FileSystemTestWrapper.java    |    28 +-
 .../java/org/apache/hadoop/fs/SymlinkBaseTest.java |     3 +-
 .../org/apache/hadoop/fs/TestContentSummary.java   |    52 +-
 .../apache/hadoop/fs/TestDelegateToFileSystem.java |    52 -
 .../java/org/apache/hadoop/fs/TestFileContext.java |    41 -
 .../org/apache/hadoop/fs/TestHarFileSystem.java    |     1 -
 .../java/org/apache/hadoop/fs/TestHardLink.java    |    91 +-
 .../fs/contract/AbstractContractDeleteTest.java    |    27 -
 .../fs/contract/AbstractContractMkdirTest.java     |    19 -
 .../fs/contract/AbstractContractRenameTest.java    |    41 -
 .../apache/hadoop/fs/contract/ContractOptions.java |     7 -
 .../hadoop/fs/contract/ContractTestUtils.java      |   139 -
 .../apache/hadoop/fs/ftp/TestFTPFileSystem.java    |    33 -
 .../hadoop/fs/loadGenerator/LoadGenerator.java     |   343 +-
 .../java/org/apache/hadoop/fs/shell/TestCount.java |     6 +-
 .../hadoop/fs/shell/find/MockFileSystem.java       |    86 -
 .../org/apache/hadoop/fs/shell/find/TestAnd.java   |   263 -
 .../hadoop/fs/shell/find/TestFilterExpression.java |   145 -
 .../org/apache/hadoop/fs/shell/find/TestFind.java  |   900 -
 .../apache/hadoop/fs/shell/find/TestHelper.java    |    35 -
 .../org/apache/hadoop/fs/shell/find/TestIname.java |    93 -
 .../org/apache/hadoop/fs/shell/find/TestName.java  |    93 -
 .../org/apache/hadoop/fs/shell/find/TestPrint.java |    56 -
 .../apache/hadoop/fs/shell/find/TestPrint0.java    |    56 -
 .../apache/hadoop/fs/shell/find/TestResult.java    |   172 -
 .../org/apache/hadoop/ha/ClientBaseWithFixes.java  |    13 +-
 .../java/org/apache/hadoop/ha/DummyHAService.java  |    73 +-
 .../java/org/apache/hadoop/ha/MiniZKFCCluster.java |     9 +-
 .../org/apache/hadoop/ha/TestHealthMonitor.java    |     4 +-
 .../apache/hadoop/ha/TestZKFailoverController.java |    10 +-
 .../hadoop/http/HttpServerFunctionalTest.java      |    32 -
 .../org/apache/hadoop/http/TestHttpServer.java     |   109 +-
 .../org/apache/hadoop/http/TestSSLHttpServer.java  |    15 +-
 .../java/org/apache/hadoop/io/TestIOUtils.java     |    44 -
 .../java/org/apache/hadoop/io/TestMapFile.java     |    61 +-
 .../test/java/org/apache/hadoop/io/TestUTF8.java   |    23 +-
 .../hadoop/io/compress/TestCodecFactory.java       |     3 +-
 .../apache/hadoop/io/compress/TestCodecPool.java   |    47 +-
 .../io/serializer/TestSerializationFactory.java    |    11 -
 .../test/java/org/apache/hadoop/ipc/TestIPC.java   |    59 +-
 .../test/java/org/apache/hadoop/ipc/TestRPC.java   |    68 -
 .../org/apache/hadoop/ipc/TestRPCWaitForProxy.java |   130 -
 .../java/org/apache/hadoop/ipc/TestSaslRPC.java    |     2 +-
 .../org/apache/hadoop/jmx/TestJMXJsonServlet.java  |    48 +-
 .../hadoop/metrics/ganglia/TestGangliaContext.java |    41 -
 .../hadoop/metrics2/impl/MetricsRecords.java       |    92 -
 .../hadoop/metrics2/impl/TestGraphiteMetrics.java  |   111 +-
 .../metrics2/impl/TestMetricsSourceAdapter.java    |    51 -
 .../metrics2/impl/TestMetricsSystemImpl.java       |    52 +-
 .../hadoop/metrics2/lib/TestMetricsRegistry.java   |    42 -
 .../metrics2/sink/ganglia/TestGangliaSink.java     |    81 -
 .../java/org/apache/hadoop/net/TestNetUtils.java   |    11 -
 .../apache/hadoop/net/TestSocketIOWithTimeout.java |     7 +-
 .../org/apache/hadoop/net/TestTableMapping.java    |    43 +-
 .../hadoop/net/unix/TestDomainSocketWatcher.java   |    65 +-
 .../hadoop/security/TestAuthenticationFilter.java  |    12 +
 .../apache/hadoop/security/TestGroupsCaching.java  |   284 -
 .../apache/hadoop/security/TestSecurityUtil.java   |    12 +-
 .../hadoop/security/TestShellBasedIdMapping.java   |   158 +-
 .../hadoop/security/TestUGILoginFromKeytab.java    |    91 -
 .../hadoop/security/TestUserGroupInformation.java  |     5 +-
 .../hadoop/security/alias/TestCredShell.java       |    22 +-
 .../authorize/TestServiceAuthorization.java        |   189 +-
 .../hadoop/security/ssl/KeyStoreTestUtil.java      |    73 +-
 .../TestZKDelegationTokenSecretManager.java        |   275 +-
 .../org/apache/hadoop/test/GenericTestUtils.java   |    42 -
 .../org/apache/hadoop/test/TestJUnitSetup.java     |    39 -
 .../apache/hadoop/test/TimedOutTestsListener.java  |     6 +-
 .../org/apache/hadoop/tracing/TestTraceUtils.java  |    51 -
 .../hadoop/util/TestApplicationClassLoader.java    |    34 +-
 .../apache/hadoop/util/TestChunkedArrayList.java   |   170 -
 .../org/apache/hadoop/util/TestDataChecksum.java   |    10 +-
 .../java/org/apache/hadoop/util/TestStopWatch.java |    62 -
 .../org/apache/hadoop/util/TestStringUtils.java    |    21 -
 .../java/org/apache/hadoop/util/TestWinUtils.java  |    68 +-
 .../apache/hadoop/util/bloom/TestBloomFilters.java |    11 -
 .../hadoop/util/curator/TestChildReaper.java       |   208 -
 .../src/test/resources/contract/localfs.xml        |     4 -
 .../src/test/resources/hdfs7067.keystore           |   Bin 6067 -> 0 bytes
 .../hadoop-common/src/test/resources/testConf.xml  |    68 +-
 .../src/test/resources/webapps/test/testjsp.jsp    |    11 +-
 hadoop-common-project/hadoop-kms/pom.xml           |    14 +-
 .../hadoop-kms/src/main/conf/kms-acls.xml          |     2 +-
 .../hadoop-kms/src/main/conf/kms-env.sh            |     6 -
 .../hadoop/crypto/key/kms/server/KMSACLs.java      |    56 +-
 .../crypto/key/kms/server/KMSConfiguration.java    |     2 -
 .../crypto/key/kms/server/KMSJSONWriter.java       |     4 +-
 .../kms/server/KeyAuthorizationKeyProvider.java    |   143 +-
 .../hadoop-kms/src/main/libexec/kms-config.sh      |    12 +-
 .../hadoop-kms/src/main/sbin/kms.sh                |    28 +-
 .../tomcat/{ssl-server.xml.conf => ssl-server.xml} |     3 +-
 .../hadoop-kms/src/site/apt/index.apt.vm           |   981 +
 .../hadoop-kms/src/site/markdown/index.md.vm       |   864 -
 .../hadoop/crypto/key/kms/server/TestKMS.java      |   404 +-
 .../hadoop/crypto/key/kms/server/TestKMSACLs.java  |    18 +-
 .../src/test/resources/mini-kms-acls-default.xml   |     4 +-
 hadoop-common-project/hadoop-minikdc/pom.xml       |     4 +-
 .../java/org/apache/hadoop/minikdc/MiniKdc.java    |    27 +-
 .../hadoop/minikdc/TestChangeOrgNameAndDomain.java |    32 -
 .../org/apache/hadoop/minikdc/TestMiniKdc.java     |    22 +-
 hadoop-common-project/hadoop-nfs/pom.xml           |     9 +-
 .../org/apache/hadoop/mount/MountResponse.java     |     3 +-
 .../java/org/apache/hadoop/mount/MountdBase.java   |    26 +-
 .../java/org/apache/hadoop/nfs/NfsExports.java     |     7 +-
 .../org/apache/hadoop/nfs/nfs3/FileHandle.java     |     7 +-
 .../java/org/apache/hadoop/nfs/nfs3/Nfs3Base.java  |    15 +-
 .../apache/hadoop/nfs/nfs3/Nfs3FileAttributes.java |    29 +-
 .../hadoop/nfs/nfs3/request/CREATE3Request.java    |     3 +-
 .../hadoop/nfs/nfs3/request/LINK3Request.java      |     3 +-
 .../hadoop/nfs/nfs3/request/LOOKUP3Request.java    |     5 +-
 .../hadoop/nfs/nfs3/request/MKDIR3Request.java     |     5 +-
 .../hadoop/nfs/nfs3/request/MKNOD3Request.java     |     3 +-
 .../hadoop/nfs/nfs3/request/REMOVE3Request.java    |     5 +-
 .../hadoop/nfs/nfs3/request/RENAME3Request.java    |     9 +-
 .../hadoop/nfs/nfs3/request/RMDIR3Request.java     |     5 +-
 .../hadoop/nfs/nfs3/request/SYMLINK3Request.java   |     9 +-
 .../java/org/apache/hadoop/oncrpc/RpcProgram.java  |     4 +-
 .../java/org/apache/hadoop/oncrpc/RpcUtil.java     |     2 +-
 .../org/apache/hadoop/oncrpc/SimpleTcpServer.java  |    31 +-
 .../org/apache/hadoop/oncrpc/SimpleUdpServer.java  |    33 +-
 .../main/java/org/apache/hadoop/oncrpc/XDR.java    |     5 +-
 .../hadoop/oncrpc/security/CredentialsSys.java     |     3 +-
 .../java/org/apache/hadoop/nfs/TestNfsExports.java |    22 +-
 hadoop-common-project/pom.xml                      |     4 +-
 hadoop-dist/pom.xml                                |     6 +-
 hadoop-hdfs-project/hadoop-hdfs-httpfs/pom.xml     |    60 +-
 .../hadoop/fs/http/client/HttpFSFileSystem.java    |    62 +-
 .../apache/hadoop/fs/http/client/HttpFSUtils.java  |     3 +-
 .../hadoop/fs/http/client/HttpsFSFileSystem.java   |     8 +-
