File, AvgCyclomatic, AvgCyclomaticModified, AvgCyclomaticStrict, AvgEssential, AvgLine, AvgLineBlank, AvgLineCode, AvgLineComment, CountDeclClass, CountDeclClassMethod, CountDeclClassVariable, CountDeclExecutableUnit, CountDeclFunction, CountDeclInstanceMethod, CountDeclInstanceVariable, CountDeclMethod, CountDeclMethodDefault, CountDeclMethodPrivate, CountDeclMethodProtected, CountDeclMethodPublic, CountLine, CountLineBlank, CountLineCode, CountLineCodeDecl, CountLineCodeExe, CountLineComment, CountSemicolon, CountStmt, CountStmtDecl, CountStmtExe, MaxCyclomatic, MaxCyclomaticModified, MaxCyclomaticStrict, MaxEssential, MaxNesting, RatioCommentToCode, SumCyclomatic, SumCyclomaticModified, SumCyclomaticStrict, SumEssential,ChangeMetrics,ChurnMetrics,PreReleaseDefects,post_release_bugs,Authors,CatchAndDoNothing_AntiPattern,CatchAndReturnNull_AntiPattern,CatchQuantity,CatchRecoverability_AntiPattern,CatchSizeLOC,CatchSizeSLOC,DummyCatch_AntiPattern,IncompleteImplementation_AntiPattern,LogAndThrow_AntiPattern,OverCatch_AntiPattern,ThrowKitchenSink_AntiPattern
READ3Response.java,1,1,1,1,6,0,6,0,1,1,0,8,8,7,4,8,0,0,0,8,99,14,65,27,33,22,40,51,25,26,2,2,2,1,1,0.34,10,10,10,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,5,1674
READDIR3Request.java,1,1,1,1,4,0,4,0,1,1,0,6,6,5,3,6,0,0,0,6,68,9,39,20,16,20,23,30,18,12,1,1,1,1,0,0.51,6,6,6,6,0,2,0,0,2,0,0,0,0,0,0,0,0,0,5,1674
READDIR3Response.java,1,1,1,1,5,0,5,0,3,2,0,16,16,14,8,16,4,0,0,12,162,25,117,53,52,22,67,91,50,41,3,3,3,1,2,0.19,20,20,20,16,0,6,0,0,6,0,0,0,0,0,0,0,0,0,5,1674
READDIRPLUS3Request.java,1,1,1,1,5,0,5,0,1,1,0,7,7,6,4,7,0,0,0,7,77,10,47,23,21,20,28,36,21,15,1,1,1,1,0,0.43,7,7,7,7,0,2,0,0,2,0,0,0,0,0,0,0,0,0,5,1674
READDIRPLUS3Response.java,1,1,1,1,7,0,7,0,3,2,0,12,12,10,10,12,3,0,0,9,165,21,124,57,60,22,78,99,52,47,4,4,4,1,2,0.18,17,17,17,12,0,6,0,0,6,0,0,0,0,0,0,0,0,0,5,1674
READLINK3Request.java,1,1,1,1,3,0,3,0,1,1,0,3,3,2,0,3,0,0,0,3,43,6,17,10,4,20,8,12,9,3,1,1,1,1,0,1.18,3,3,3,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,5,1674
READLINK3Response.java,1,1,1,1,7,0,7,0,1,1,0,4,4,3,2,4,0,0,0,4,67,8,39,17,18,21,23,30,15,15,2,2,2,1,1,0.54,6,6,6,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,5,1674
ReadRecordFactory.java,1,1,1,1,7,0,5,2,1,0,1,5,5,5,3,5,0,0,0,5,85,10,41,20,14,34,21,29,16,13,4,4,4,1,1,0.83,8,8,8,5,0,1,1,0,4,0,0,0,0,0,0,2,0,0,1,1506
Reconfigurable.java,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,3,0,0,0,3,57,8,8,7,0,41,5,6,6,0,0,0,0,0,0,5.13,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,200
ReconfigurationException.java,1,1,1,1,8,0,5,3,1,1,1,7,7,6,3,7,0,1,0,6,104,14,48,18,22,42,24,34,14,20,3,3,3,1,1,0.88,9,9,9,7,0,1,0,0,4,0,0,0,0,0,0,2,0,0,2,205
ReconfigurationServlet.java,2,2,3,1,18,1,16,0,1,0,3,9,9,9,0,9,0,6,2,1,238,31,171,52,118,36,76,98,42,56,7,7,17,1,5,0.21,21,21,31,9,4,1,1,0,9,0,0,1,0,2,0,2,0,0,2,205
ReconfigurationTaskStatus.java,1,1,1,1,5,0,3,1,1,0,0,6,6,6,3,6,0,0,0,6,70,10,34,19,8,26,17,24,16,8,1,1,1,1,0,0.76,6,6,6,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,200
ReconfigurationUtil.java,2,2,2,1,11,1,9,1,2,1,0,3,3,2,3,3,0,0,0,3,71,11,40,20,17,20,20,31,20,11,5,5,6,1,2,0.5,7,7,8,3,0,1,0,0,5,0,0,0,0,0,0,2,0,0,2,205
RegistrationClient.java,1,1,2,1,9,0,8,0,2,0,1,6,6,6,0,6,0,3,0,3,104,12,67,28,37,27,35,48,27,21,3,3,4,1,2,0.4,11,11,12,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,5,1674
REMOVE3Request.java,1,1,1,1,4,0,4,0,1,1,0,4,4,3,1,4,0,0,0,4,53,7,26,14,9,20,15,20,13,7,1,1,1,1,0,0.77,4,4,4,4,3,3,0,0,3,0,0,0,0,0,0,0,0,0,5,1674
REMOVE3Response.java,1,1,1,1,5,0,5,0,1,1,0,4,4,3,1,4,0,0,0,4,55,6,29,14,11,20,16,22,13,9,2,2,2,1,1,0.69,5,5,5,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,5,1674
RENAME3Request.java,1,1,1,1,4,0,4,0,1,1,0,7,7,6,4,7,0,0,0,7,76,10,46,23,19,20,28,36,21,15,1,1,1,1,0,0.43,7,7,7,7,3,3,0,0,3,0,0,0,0,0,0,0,0,0,5,1674
RENAME3Response.java,1,1,1,1,4,0,4,0,1,1,0,6,6,5,2,6,0,0,0,6,62,8,34,16,14,20,19,26,15,11,1,1,1,1,0,0.59,6,6,6,6,0,3,0,0,3,0,0,0,0,0,0,0,0,0,5,1674
RequestLoggerFilter.java,1,1,1,1,7,0,7,0,3,0,1,15,15,15,3,15,0,1,0,14,183,21,146,65,65,16,75,105,56,49,5,5,5,1,2,0.11,24,24,25,15,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,55
RequestWithHandle.java,1,1,1,1,3,0,3,0,1,0,0,2,2,2,1,2,1,0,0,1,35,4,11,6,2,20,5,8,6,2,1,1,1,1,0,1.82,2,2,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,5,1674
