File, AvgCyclomatic, AvgCyclomaticModified, AvgCyclomaticStrict, AvgEssential, AvgLine, AvgLineBlank, AvgLineCode, AvgLineComment, CountDeclClass, CountDeclClassMethod, CountDeclClassVariable, CountDeclExecutableUnit, CountDeclFunction, CountDeclInstanceMethod, CountDeclInstanceVariable, CountDeclMethod, CountDeclMethodDefault, CountDeclMethodPrivate, CountDeclMethodProtected, CountDeclMethodPublic, CountLine, CountLineBlank, CountLineCode, CountLineCodeDecl, CountLineCodeExe, CountLineComment, CountSemicolon, CountStmt, CountStmtDecl, CountStmtExe, MaxCyclomatic, MaxCyclomaticModified, MaxCyclomaticStrict, MaxEssential, MaxNesting, RatioCommentToCode, SumCyclomatic, SumCyclomaticModified, SumCyclomaticStrict, SumEssential,ChangeMetrics,ChurnMetrics,PreReleaseDefects,post_release_bugs,Authors
TestClientDistributedCacheManager.java,2,2,2,1,13,0,12,0,1,0,2,4,4,4,4,4,1,0,0,3,114,12,85,46,41,17,55,64,39,25,3,3,3,1,1,0.2,8,8,8,4,0,1,0,2,1
TestClientProtocolForPipelineRecovery.java,3,3,3,1,52,4,40,8,1,0,0,4,4,4,0,4,0,0,0,4,261,26,182,72,137,53,121,141,65,76,5,5,5,1,3,0.29,13,13,13,4,0,1,0,7,11
TestClientProtocolProviderImpls.java,1,1,1,1,9,0,9,0,1,0,0,4,4,4,0,4,0,0,0,4,79,9,53,24,28,17,30,37,20,17,2,2,2,1,1,0.32,6,6,6,4,71,3,2,1,7
TestClientProtocolWithDelegationToken.java,1,1,1,1,29,1,28,0,2,0,3,2,2,2,0,2,0,0,0,2,119,13,88,50,48,18,60,65,44,21,2,2,2,1,1,0.2,3,3,3,2,0,1,0,0,8
TestClientRedirect.java,1,1,1,1,7,0,6,0,4,1,5,50,50,49,11,50,1,1,3,45,649,85,529,310,204,36,301,361,210,151,3,3,3,1,2,0.07,56,56,56,50,8,1,2,0,33
TestClientReportBadBlock.java,2,2,2,1,17,0,12,4,1,5,7,15,15,10,1,15,1,9,0,5,352,22,231,120,137,101,148,178,102,76,4,4,4,1,3,0.44,32,32,32,15,0,1,0,1,10
TestClientRMProxy.java,3,3,3,1,28,2,24,2,1,0,0,2,2,2,0,2,0,0,0,2,89,9,59,20,40,21,35,46,22,24,3,3,3,1,1,0.36,6,6,6,2,0,2,0,1,2
TestClientRMService.java,1,1,1,1,22,1,20,0,20,5,14,60,60,55,2,60,0,14,3,43,1515,147,1292,595,905,77,755,853,459,394,7,7,7,5,3,0.06,95,95,96,64,107,3,6,17,57
TestClientRMTokens.java,1,1,1,1,17,1,15,0,7,2,1,24,24,22,0,24,1,7,1,15,522,68,415,183,246,39,200,245,123,122,19,19,20,1,2,0.09,46,46,47,24,0,1,2,2,19
TestClientSCMProtocolService.java,1,1,1,1,15,2,13,0,1,2,1,12,12,10,4,12,0,1,0,11,278,45,203,89,123,30,125,142,69,73,4,4,4,1,1,0.15,16,16,16,12,278,2,0,0,2
